record_id,reference_id,amount,currency,transaction_date,counterparty,description
BNK-6001,DF-302-201,3400.00,USD,2026-08-02,DELTA FREIGHT LOGISTICS,BANK TRSF DELTA FREIGHT DF-302-201
BNK-6002,BHL-998-202,1250.00,USD,2026-08-04,BIOHEALTH LAB TEST,DIRECT DEBIT BIOHEALTH LABS
BNK-6003,ACME 303,5400.10,USD,2026-08-08,ACME CORP INC,ACH TRANSFER ACME CORP ACME-303
BNK-6004,GLOBAL-304,890.00,USD,2026-08-09,GLOBAL LOGISTICS,WIRE TRSF GLOBAL LOGISTICS
BNK-6005,CS-305,4100.00,USD,2026-08-11,CLOUDSCALE SYS PROV,DIRECT DEBIT CLOUDSCALE CS-305
BNK-6006,APX-306,670.00,USD,2026-08-14,APEX SUP & MAT,ACH PAYOUT APEX SUP & MAT
BNK-6007,APX-306,670.00,USD,2026-08-14,APEX SUP & MAT,DUPLICATE ACH POSTING APX-306
BNK-6008,VNG-307,2900.00,USD,2026-08-17,VANGUARD MKTG AGENCY,WIRE TRSF VANGUARD MKTG
BNK-6009,HT-308,1150.00,USD,2026-08-18,HORIZON TEL & COMM,DIRECT DEBIT HORIZON TEL
BNK-6010,NEX-309,7300.00,USD,2026-08-21,NEXUS TECH SOL,ACH TRANSFER NEXUS TECH
BNK-6011,SRE-310,9500.00,USD,2026-08-23,SUMMIT REALTY LEASE,DIRECT DEBIT SUMMIT REALTY
