record_id,reference_id,amount,currency,transaction_date,counterparty,description
LED-JUDGE-2056,SRE-771-157,-3050.34,USD,2026-08-07,Summit Real Estate,Internal ledger entry SRE-771-157 (6050-REAL_ESTATE_LEASE)
LED-JUDGE-2013,EUR-501-114,-8178.87,EUR,2026-08-08,EuroSupply GmbH,Internal ledger entry EUR-501-114 (6020-LOGISTICS_FREIGHT)
LED-JUDGE-2036,UKT-902-137,6086.1,GBP,2026-08-13,UK Telecom Ltd,Internal ledger entry UKT-902-137 (6060-TELECOM_UTILITIES)
LED-JUDGE-2015,EUR-501-116,10932.68,EUR,2026-08-11,EuroSupply GmbH,Internal ledger entry EUR-501-116 (6020-LOGISTICS_FREIGHT)
LED-JUDGE-2078,STR-772-179,-11709.64,USD,2026-08-16,Stripe Billing,Internal ledger entry STR-772-179 (4010-REVENUE_SALES)
LED-JUDGE-2050,NEX-401-151,-3964.57,USD,2026-08-02,Nexus Tech Solutions,Internal ledger entry NEX-401-151 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2032,EUR-501-133,-670.62,EUR,2026-08-03,EuroSupply GmbH,Internal ledger entry EUR-501-133 (6020-LOGISTICS_FREIGHT)
LED-JUDGE-2059,PIN-009-160,3211.54,USD,2026-08-24,Pinnacle Legal Services,Internal ledger entry PIN-009-160 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2096,LED-ORPHAN-407,8143.43,USD,2026-08-07,Unmatched Internal Ledger Vendor 7,Internal accrual record LED-ORPHAN-407
LED-JUDGE-2012,HT-554-113,14147.4,USD,2026-08-27,Horizon Telecom,Internal ledger entry HT-554-113 (6060-TELECOM_UTILITIES)
LED-JUDGE-2063,HT-554-164,-4991.66,USD,2026-08-01,Horizon Telecom,Internal ledger entry HT-554-164 (6060-TELECOM_UTILITIES)
LED-JUDGE-2053,VNG-112-154,-16309.39,USD,2026-08-04,Vanguard Marketing,Internal ledger entry VNG-112-154 (6070-MARKETING_ADVERTISING)
LED-JUDGE-2090,LED-ORPHAN-401,8848.86,USD,2026-08-22,Unmatched Internal Ledger Vendor 1,Internal accrual record LED-ORPHAN-401
LED-JUDGE-2003,STR-772-104,15560.01,USD,2026-08-07,Stripe Billing,Internal ledger entry STR-772-104 (4010-REVENUE_SALES)
LED-JUDGE-2068,IND-303-169,-1605.3,INR,2026-08-02,Bharat Tech Services,Internal ledger entry IND-303-169 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2010,SRE-771-111,-14392.94,USD,2026-08-17,Summit Real Estate,Internal ledger entry SRE-771-111 (6050-REAL_ESTATE_LEASE)
LED-JUDGE-2029,INV-2026-130,7377.39,USD,2026-08-09,Acme Corp,Internal ledger entry INV-2026-130 (6010-SOFTWARE_SAAS)
LED-JUDGE-2019,LOG-884-120,13391.94,USD,2026-08-07,Global Logistics LLC,Internal ledger entry LOG-884-120 (6020-LOGISTICS_FREIGHT)
LED-JUDGE-2035,PIN-009-136,2871.62,USD,2026-08-29,Pinnacle Legal Services,Internal ledger entry PIN-009-136 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2011,PIN-009-112,-12693.09,USD,2026-08-18,Pinnacle Legal Services,Internal ledger entry PIN-009-112 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2058,LOG-884-159,8346.77,USD,2026-08-25,Global Logistics LLC,Internal ledger entry LOG-884-159 (6020-LOGISTICS_FREIGHT)
LED-JUDGE-2080,CS-SPLIT-901,12000.0,USD,2026-08-05,CloudScale Systems,Bulk settlement invoice CS-SPLIT-901
LED-JUDGE-2057,VNG-112-158,-11270.1,USD,2026-08-11,Vanguard Marketing,Internal ledger entry VNG-112-158 (6070-MARKETING_ADVERTISING)
LED-JUDGE-2097,LED-ORPHAN-408,8420.24,USD,2026-08-15,Unmatched Internal Ledger Vendor 8,Internal accrual record LED-ORPHAN-408
LED-JUDGE-2051,PIN-009-152,9814.11,USD,2026-08-27,Pinnacle Legal Services,Internal ledger entry PIN-009-152 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2001,HT-554-102,9500.29,USD,2026-08-04,Horizon Telecom,Internal ledger entry HT-554-102 (6060-TELECOM_UTILITIES)
LED-JUDGE-2041,NEX-401-142,8097.54,USD,2026-08-12,Nexus Tech Solutions,Internal ledger entry NEX-401-142 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2005,PIN-009-106,-5282.96,USD,2026-08-26,Pinnacle Legal Services,Internal ledger entry PIN-009-106 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2021,EUR-501-122,8949.98,EUR,2026-08-18,EuroSupply GmbH,Internal ledger entry EUR-501-122 (6020-LOGISTICS_FREIGHT)
