record_id,reference_id,amount,currency,transaction_date,counterparty,description
BNK-JUDGE-7072,PIN-009-173,4108.29,USD,2026-08-03,PINNACLE LEGAL LAW,BANK STATEMENT POSTING PINNACLE LEGAL LAW PIN-009-173
BNK-JUDGE-7093,LOG-884-125,-2494.93,USD,2026-08-03,GLOBAL LOGISTICS INC,BANK STATEMENT POSTING GLOBAL LOGISTICS INC LOG-884-125 (DUPLICATE POSTING)
BNK-JUDGE-7095,LOG-884-120,13391.94,USD,2026-08-07,GLOBAL LOGISTICS INC,BANK STATEMENT POSTING GLOBAL LOGISTICS INC LOG-884-120 (DUPLICATE POSTING)
BNK-JUDGE-7042,NEX-401-143,7846.2,USD,2026-08-22,NEXUS TECH SOL,BANK STATEMENT POSTING NEXUS TECH SOL NEX-401-143
BNK-JUDGE-7044,CS-991-145,17848.35,USD,2026-08-18,CLOUDSCALE SYS PROV,BANK STATEMENT POSTING CLOUDSCALE SYS PROV CS-991-145
BNK-JUDGE-7057,VNG-112-158,-11270.1,USD,2026-08-11,VANGUARD MKTG AGENCY,BANK STATEMENT POSTING VANGUARD MKTG AGENCY VNG-112-158
BNK-JUDGE-7013,EUR-501-114,-8178.52,EUR,2026-08-08,EUROSUPPLY GMBH FRA,BANK STATEMENT POSTING EUROSUPPLY GMBH FRA EUR-501-114
BNK-JUDGE-7069,SRE-771-170,-11537.0,USD,2026-08-26,SUMMIT REALTY LEASE,BANK STATEMENT POSTING SUMMIT REALTY LEASE SRE-771-170
BNK-JUDGE-7046,VNG-112-147,-2298.42,USD,2026-08-29,VANGUARD MKTG AGENCY,BANK STATEMENT POSTING VANGUARD MKTG AGENCY VNG-112-147
BNK-JUDGE-7041,NEX-401-142,8097.54,USD,2026-08-12,NEXUS TECH SOL,BANK STATEMENT POSTING NEXUS TECH SOL NEX-401-142
BNK-JUDGE-7070,VNG-112-171,3121.45,USD,2026-08-05,VANGUARD MKTG AGENCY,BANK STATEMENT POSTING VANGUARD MKTG AGENCY VNG-112-171
BNK-JUDGE-7067,NEX-401-168,-15554.84,USD,2026-07-30,NEXUS TECH SOL,BANK STATEMENT POSTING NEXUS TECH SOL NEX-401-168
BNK-JUDGE-7016,STR-772-117,13137.77,USD,2026-08-04,STRIPE TRANSFER,BANK STATEMENT POSTING STRIPE TRANSFER STR-772-117
BNK-JUDGE-7015,EUR-501-116,10932.68,EUR,2026-08-11,EUROSUPPLY GMBH FRA,BANK STATEMENT POSTING EUROSUPPLY GMBH FRA EUR-501-116
BNK-JUDGE-7032,EUR-501-133,-670.62,EUR,2026-08-03,EUROSUPPLY GMBH FRA,BANK STATEMENT POSTING EUROSUPPLY GMBH FRA EUR-501-133
BNK-JUDGE-7020,LOG-884-121,7561.12,USD,2026-08-26,GLOBAL LOGISTICS INC,BANK STATEMENT POSTING GLOBAL LOGISTICS INC LOG-884-121
BNK-JUDGE-7102,BNK-ORPHAN-807,-489.5,USD,2026-08-14,UNIDENTIFIED DIRECT BANK PAYEE 7,DIRECT BANK DEBIT BNK-ORPHAN-807
BNK-JUDGE-7034,LOG 884 135,-666.78,USD,2026-08-20,GLOBAL LOGISTICS INC,BANK STATEMENT POSTING GLOBAL LOGISTICS INC LOG 884 135
BNK-JUDGE-7026,SRE 771 127,15887.79,USD,2026-08-14,SUMMIT REALTY LEASE,BANK STATEMENT POSTING SUMMIT REALTY LEASE SRE 771 127
BNK-JUDGE-7014,IND-303-115,-9256.05,INR,2026-08-19,BHARAT TECH BANGALORE,BANK STATEMENT POSTING BHARAT TECH BANGALORE IND-303-115
BNK-JUDGE-7000,CS-991-101,8636.45,USD,2026-08-25,CLOUDSCALE SYS PROV,BANK STATEMENT POSTING CLOUDSCALE SYS PROV CS-991-101
BNK-JUDGE-7002,NEX-401-103,5057.35,USD,2026-08-22,NEXUS TECH SOL,BANK STATEMENT POSTING NEXUS TECH SOL NEX-401-103
